"February 28, 2022 at 07:56AM","They Fled for Greener Pastures, and There Were Weeds","City dwellers, who retreated to rural areas in the pandemic, now see drawbacks, from pests and social isolation to the difficulty of finding day care and health…",https://www.nytimes.com/2022/02/25/realestate/new-yorkers-return-nyc-pandemic.html
"February 28, 2022 at 08:06AM",Data is Never Abstract,The physical world is a computer Throughout his academic career Dietmar has been contemplating the interactions of social and technological systems. In 2017 he…,https://medium.com/center-for-design/data-is-never-abstract-eccfb660b4c7
"February 28, 2022 at 08:07AM",The New Normal,,https://thenewnormal.is
"February 28, 2022 at 08:08AM",Beyond Precision: Expressiveness in Visualization,"In recent years, I have grown increasingly dissatisfied with the way we teach and talk about data visualization – at least from what I observe in academic…",https://filwd.substack.com/p/beyond-precision-expressiveness-in
"March 16, 2022 at 09:08AM",Music Visualiser with THREE.js & Web Audio API | by ☯ Prakhar Bhardwaj ☯ | Medium,"Final thing first: (Just use a .mp3 / .mp4 / .wav file to see it work. If you are out, you can use this ) The final thing. A Primer on WebAudio API The HTML5’s…",https://medium.com/@mag_ops/music-visualiser-with-three-js-web-audio-api-b30175e7b5ba
"March 16, 2022 at 09:08AM",Virtual Gathering Welcomes Creative Works from 1926 into the Public Domain - Internet Archive Blogs,"Free from copyright restrictions, the public can now enjoy unlimited access to creative works from 1926 including A.A. Milne’s Winnie-the-Pooh , classic silent…",https://blog.archive.org/2022/01/27/virtual-gathering-welcomes-creative-works-from-1926-into-the-public-domain/
"March 22, 2022 at 07:27AM",A Grand Unified Theory of Buying Stuff,https://www.wired.com/story/a-grand-unified-theory-of-buying-stuff/?utm_source=densediscovery&utm_medium=email&utm_campaign=newsletter-issue-180,https://www.wired.com/story/a-grand-unified-theory-of-buying-stuff/
"March 22, 2022 at 08:39AM",Ruggedize Your Life.,https://alexsteffen.substack.com/p/ruggedize-your-life?utm_source=densediscovery&utm_medium=email&utm_campaign=newsletter-issue-180&s=r,https://alexsteffen.substack.com/p/ruggedize-your-life
"March 22, 2022 at 09:59AM",Solar powered dawn poems: progress report,https://posts.decontextualize.com/solar-powered-dawn-poems-progress-report/,https://posts.decontextualize.com/solar-powered-dawn-poems-progress-report
"March 24, 2022 at 02:50PM",Lessons from the COVID data wizards,"Download PDF In March 2020, Beth Blauer started hearing anecdotally that COVID-19 was disproportionately affecting Black people in the United States. But the…",https://www.nature.com/articles/d41586-022-00792-2
